ds,yhat,yhat_lower,yhat_upper
2021-01-31,10456203.517413892,9584727.357469471,11225132.462180924
2021-02-28,11169426.558239682,10351017.819119498,12108646.396534955
2021-03-31,12942795.393804748,12052574.318310238,13816189.743592294
2021-04-30,12613918.40125034,11740895.775290046,13417970.29572823
2021-05-31,12903421.987714598,12073204.595323788,13686300.334319526
2021-06-30,12825102.358653292,12036059.893137481,13625222.367878737
2021-07-31,13419573.46570403,12568888.232861908,14293794.171749882
2021-08-31,13801937.016549967,12976640.00187073,14618477.800335288
2021-09-30,13088846.91550039,12246104.638584811,13869343.511059482
2021-10-31,13068853.055624358,12241663.948484367,13959986.088527104
2021-11-30,12281730.374915771,11446447.54620678,13178080.696674973
2021-12-31,12063554.771924654,11251351.145628301,12944531.369196776
2022-01-31,10875902.622625142,9965785.447303774,11691411.793823617
2022-02-28,11734839.715021966,10887426.458799765,12518714.074078215
2022-03-31,13456002.518908346,12588455.290196218,14261548.187321045
2022-04-30,13063500.727841126,12196214.31721545,13913660.480755882
2022-05-31,13307744.313997842,12422523.305734513,14135427.469391074
2022-06-30,13336422.695835823,12495156.713248089,14212307.867745074
2022-07-31,13970658.000641726,13141326.650503164,14796807.995135516
2022-08-31,14238778.734266479,13364636.434124658,15135828.40510674
2022-09-30,13544308.335252702,12642256.588446492,14377586.917096633
2022-10-31,13645317.50471913,12800263.405910773,14491570.599453213
2022-11-30,12746537.575356627,11922169.468447456,13599794.741964066
2022-12-31,12513076.49444915,11655379.748263156,13367005.554466125
2023-01-31,11297614.927363958,10422254.096043117,12143954.46947488
2023-02-28,12301263.874162754,11439431.584758075,13153396.040067174
2023-03-31,13967039.535976397,13199408.737590512,14846439.667172292
2023-04-30,13511486.021393767,12751316.870634366,14370140.328389335
2023-05-31,13712827.296954963,12857622.624726467,14594558.58058059
2023-06-30,13849777.840622883,12967415.05349866,14698776.61662868
2023-07-31,14520988.522960713,13676986.028426511,15394499.919854961
2023-08-31,14674386.24993335,13841667.241064932,15500106.371463967
2023-09-30,14001366.414013233,13173382.293769494,14840963.831344267
2023-10-31,14221624.801291345,13364208.057056077,15048459.03328076
2023-11-30,13209648.932204569,12319527.48003517,13993984.263152145
2023-12-31,12961965.199851133,12175096.401193801,13822735.713296017
